cntr_01,dist_x,pang_x,ra_01,dec_01,usno_b1,tycho2,ra,dec,e_ra,e_dec,epoch,pm_ra,pm_dec,e_pm_ra,e_pm_dec,e_fit_ra,e_fit_dec,b1_mag,b1_cal,b1_xi,b1_eta,r1_mag,r1_cal,r1_xi,r1_eta,b2_mag,b2_cal,b2_xi,b2_eta,r2_mag,r2_cal,r2_xi,r2_eta,i_mag,i_cal,i_xi,i_eta
1,,,52.11024254,-2.04236789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.860005,-48.542745,3.47121035,3.38886984,0933-0003340,,3.471031,3.389028,99,999,1969.6,0,0,0,0,1,9,,,,,19.32,2,-0.1,1.05,,,,,19.44,2,0.09,-1.06,,,,
3,2.422532,116.429721,3.89475485,17.59053852,1075-0003793,,3.895387,17.590239,999,999,1975.1,0,0,0,0,9,9,,,,,19.09,1,-1.27,1.86,,,,,19.18,1,1.26,-1.87,,,,
4,1.540879,108.827223,9.35540047,27.20972713,1172-0010485,,9.355856,27.209589,999,999,1971.2,0,0,0,0,9,9,,,,,19.36,3,-1.43,-1.49,,,,,18.29,3,1.42,1.48,,,,
5,,,10.34550753,2.66746649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2.68127,87.376524,10.66071088,12.51321091,1025-0008291,,10.661473,12.513245,999,999,1972.2,0,0,0,0,9,9,,,,,18.4,1,2.23,1.84,,,,,19.34,2,-2.24,-1.85,,,,
7,1.316982,2.465406,33.533556661,-15.61276049,0743-0022143,,33.533573,-15.612395,669,960,1991.7,0,0,0,0,9,9,,,,,,,,,,,,,19.62,2,0.66,-0.97,18.74,2,-0.67,0.96
8,0.120797,-122.219017,43.2579154,-1.66988811,0883-0050634,,43.257887,-1.669906,999,999,1975.8,0,0,0,0,9,9,,,,,18.54,2,-1.26,-3.28,,,,,14.72,2,1.25,3.27,,,,
9,2.088617,96.26473,52.89479371,5.41285031,0954-0034151,,52.895373,5.412787,999,999,1973.3,0,0,0,0,9,9,,,,,18.47,2,1.53,2.12,,,,,19.34,1,-1.54,-2.13,,,,
10,0.861913,51.668754,120.45992144,24.60075151,1146-0153142,,120.460128,24.6009,999,999,1969.9,0,0,0,0,9,9,,,,,19.01,1,-1.92,-2.33,,,,,19.44,2,1.91,2.32,,,,
11,,,107.09263542,77.62348142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2.216203,-80.569761,127.43763444,61.49290514,1514-0168713,,127.436362,61.493006,999,65,1975.1,0,0,0,0,9,0,,,,,18.95,2,3.2,0.06,,,,,19.03,2,-3.21,-0.07,,,,
13,2.415308,-147.930169,132.82283403,62.97728054,1529-0221027,,132.82205,62.976712,620,59,1975.5,0,0,0,0,8,0,,,,,18.91,1,-0.63,0.05,,,,,19.45,2,0.62,-0.06,,,,
14,2.517998,37.771641,144.08779159,37.82830012,1278-0223059,,144.088334,37.828853,999,999,1976.1,0,0,0,0,9,9,,,,,18.82,2,3.38,2.64,,,,,18.81,2,-3.39,-2.65,,,,
15,2.463867,91.700377,144.86870866,22.66160731,1126-0203513,,144.86945,22.661587,999,525,1974.1,0,0,0,0,9,7,,,,,19.48,1,-1.98,-0.53,,,,,18.38,1,1.97,0.52,,,,
16,0.820814,16.433161,153.86294844,25.66198431,1156-0172014,,153.86302,25.662203,999,999,1972.6,0,0,0,0,9,9,,,,,19.42,2,1.99,1.45,,,,,19.32,2,-2.0,-1.46,,,,
17,0.719217,0.283355,154.74719094,21.23679222,1112-0190409,,154.747192,21.236992,703,999,1977.1,0,0,0,0,9,9,,,,,19.38,2,0.7,-3.39,,,,,17.63,1,-0.71,3.38,,,,
18,,,162.00544724,12.534768741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.76168,-10.08307,162.89890039,15.22721469,1052-0197620,,162.898862,15.227423,999,999,1963.7,0,0,0,0,9,9,19.28,1,1.4,-0.25,18.91,1,7.78,3.35,,,,,19.16,2,-9.2,-3.11,,,,
20,2.279871,-71.965668,172.8255489,10.22351794,1002-0196922,,172.824937,10.223714,506,999,1969.7,0,0,0,0,7,9,,,,,18.6,2,0.5,-1.59,,,,,19.34,2,-0.51,1.58,,,,
21,1.36264,135.288,177.3818008,16.12175299,1061-0195926,,177.382078,16.121484,999,999,1972.2,0,0,0,0,9,9,,,,,17.05,1,-1.84,-2.59,,,,,19.27,1,1.83,2.58,,,,
22,2.181442,31.536251,179.09119229,67.07624754,1570-0148491,,179.092006,67.076764,999,999,1975.5,0,0,0,0,9,9,,,,,19.49,2,-1.47,1.59,,,,,19.4,2,1.46,-1.6,,,,
23,1.308905,50.280539,187.40599064,61.29975666,1512-0195103,,187.406573,61.299989,999,354,1974.3,0,0,0,0,9,5,,,,,18.44,1,2.18,-0.36,,,,,19.47,2,-2.19,0.35,,,,
24,1.72394,-88.33179,187.62053676,20.71692006,1107-0208153,,187.620025,20.716934,999,999,1976.2,0,0,0,0,9,9,,,,,16.95,2,1.22,-3.31,,,,,19.39,2,-1.23,3.3,,,,
25,2.291373,143.475936,189.34915847,5.44200949,0954-0213934,,189.349539,5.441498,999,999,1976.2,0,0,0,0,9,9,,,,,19.33,2,1.05,2.24,,,,,16.02,1,-1.06,-2.25,,,,
26,,,190.59301656,34.34662811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.040045,-78.746281,197.06901328,18.78016062,1087-0212421,,197.068714,18.780217,889,889,1972.2,0,0,0,0,9,9,,,,,19.1,2,0.88,-0.89,,,,,19.0,2,-0.89,0.88,,,,
28,,,201.15048368,31.47870147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.953033,87.198578,226.11526781,62.39003249,1523-0271731,,226.116437,62.390059,71,999,1973.9,0,0,0,0,1,9,,,,,18.11,1,-0.08,3.51,,,,,18.74,2,0.07,-3.52,,,,
30,0.274238,-47.138815,245.47107724,71.848623183,1618-0117984,,245.470898,71.848675,176,120,1978.2,0,0,0,0,3,2,20.54,2,-0.22,0.27,18.95,1,0.38,0.11,21.08,1,0.31,0.08,19.0,2,-0.41,-0.16,18.38,1,-0.08,-0.32
31,2.630481,-27.47432,232.42297814,22.97107472,1129-0279272,,232.422612,22.971723,999,999,1973.4,0,0,0,0,9,9,,,,,16.18,1,-2.01,-2.88,,,,,16.93,1,2.0,2.87,,,,
32,0.658005,-174.475346,242.43832051,38.58037693,1285-0259040,,242.438298,38.580195,999,999,1963.9,0,0,0,0,9,9,20.49,1,1.22,2.59,18.85,1,-3.22,-0.48,,,,,18.6,2,1.98,-2.13,,,,
33,1.469219,-72.177585,260.14578215,44.00302509,1340-0289064,,260.145242,44.00315,999,999,1972.9,0,0,0,0,9,9,,,,,19.49,1,2.01,-1.23,,,,,19.28,2,-2.02,1.22,,,,
34,0.271034,16.136619,277.74218932,40.899972679,1309-0305148,,277.742217,40.900045,217,72,1977.8,0,0,0,0,4,1,20.62,1,-0.75,-0.17,18.55,1,0.19,0.15,20.46,1,0.2,-0.11,19.37,1,0.13,0.11,18.63,1,0.21,-0.02
