cntr_01,dist_x,pang_x,ra_01,dec_01,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot
1,,,52.110964,-2.042556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,3.471031,3.389028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,3.895387,17.590239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,4.030117,21.979837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,9.355856,27.209589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,10.3451,2.66792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,10.661473,12.513245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2.02575,22.445706,33.533339,-15.613295,1636148068921376768,Gaia DR3 5145133296031761408,5145133296031761408,1128297667,2016.0,33.53356207737,0.4409,-15.61277492142,0.439,1.8496,0.5809,3.1841,16.297,7.477,0.55,-14.481,0.562,0.2861,0.0151,-0.2327,0.2285,-0.0376,0.2307,-0.2196,0.2351,0.2906,0.2704,316,0,315,1,2.1113,406.7559,1.875,2.8456,95,0,,1.1589,0.1114,-0.074,-0.137,0.05,-0.102,0.116,37,17,0.879613,45,32,0,0.029,109.936,0,0,1.085,0.213,0.418,0.217,0.54,-60.813,-39.878,-47.26,36.005,0,371,172.25162,0.68749,250.55074,20.096958,26,42.12964,4.7682,8.83554,21.277073,32,222.022,8.41956,26.3698,18.881905,1.534,0,0,0,4,0,2.395168,1.180115,1.215054,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,186.18652380373,-67.61919643748,25.39322472477,-27.29425301896,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.999993,,,,,,,,,,,,,,,,,,,,,,
9,,,14.634073,17.801178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,24.873195,9.010906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,4.94454,-145.999787,28.8779,9.011723,1636148068921376768,Gaia DR3 2570523392486888064,2570523392486888064,581236030,2016.0,28.87712235708,9.0222,9.01058433275,5.0013,,,,,,,,,-0.5094,,,,,,,,,,55,0,53,2,8.747,193.1381,20.036,67.7573,3,0,,,,,,,,,7,6,20.405735,8,3,0,0.206,7.857,0,0,,0.238,0.586,0.315,0.891,-87.848,15.512,-47.678,23.672,0,63,62.02825,1.83241,33.85065,21.205893,7,128.89348,45.14343,2.8552,20.062965,7,211.67643,9.05561,23.37516,18.933714,5.491,0,0,0,0,0,1.129251,-1.142927,2.272179,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,148.39719107349,-50.66602883439,30.02935956279,-2.63858940323,0,0,0,0,0,0,0,0,0,0,0,0.000132,0.000334,0.997876,,,,,,,,,,,,,,,,,,,,,,
12,,,29.150439,22.869123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,33.227775,6.862581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,8.501104,-120.99239,43.257887,-1.669906,1636148068921376768,Gaia DR3 5187541734393616768,5187541734393616768,390711216,2016.0,43.25586184711,0.0936,-1.67112195015,0.0882,-0.0715,0.1084,-0.6595,2.572,-0.299,0.107,-2.555,0.11,0.1884,0.4065,-0.0593,-0.2484,-0.0991,-0.2316,-0.3279,0.0523,-0.1675,0.3304,196,0,195,1,2.1598,244.0819,0.341,2.1374,31,1,1.524,,,,,,,,23,13,0.177676,24,11,0,0.032,72.739,4,0,1.111,0.331,0.155,0.348,0.851,-55.182,-32.128,-57.594,27.497,0,191,1921.54922,2.45108,783.96094,17.478237,22,996.22204,19.91309,50.02851,17.842651,22,1356.73115,9.3778,144.67476,16.91666,1.225,0,2,0,1,0,0.925991,0.364414,0.561577,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,176.95222818348,-51.31796713731,40.27540514795,-17.41075075138,0,0,0,1,0,0,0,0,1,1,0,0.0,0.0,0.999985,5238.4,5223.3,5259.0,4.7509,4.736,4.7666,-2.0746,-2.245,-1.8867,1526.0046,1509.2012,1555.4102,0.0125,0.0031,0.0304,0.0103,0.0026,0.0249,0.0056,0.0014,0.0136,MARCS
15,,,52.895373,5.412787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,67.961184,8.270728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,70.986948,11.760406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,99.705237,82.851228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,111.867539,49.116289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,120.460128,24.6009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,107.096289,77.623406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,4.836266,-51.121539,117.308706,31.328087,1636148068921376768,Gaia DR3 880816840866314496,880816840866314496,576392732,2016.0,117.30748167451,0.6259,31.32893021114,0.4658,-0.8141,0.7765,-1.0484,1.444,-1.287,0.871,0.654,0.481,0.0771,0.043,0.2144,0.0351,-0.3404,-0.0883,0.7389,0.4605,-0.2468,0.033,278,0,278,0,-2.6349,231.8755,0.0,0.0,31,0,1.575,,,,,,,,32,16,1.245205,32,4,0,0.07,22.804,0,0,0.888,0.244,0.455,0.241,0.537,-134.325,-1.945,-41.586,-23.856,0,276,146.12697,1.024,142.70256,20.275541,28,90.87232,7.77338,11.6902,20.442463,27,90.74772,6.48961,13.98353,19.853306,1.243,0,1,0,1,0,0.589157,0.166922,0.422235,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,189.08912038355,25.26249622584,113.45493327938,10.0863165204,1,0,0,0,0,0,1,0,0,0,0,0.983974,1e-06,0.016025,,,,,,,,,,,,,,,,,,,,,,
23,,,127.436362,61.493006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,128.828042,62.064314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,154.25955,81.048764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,132.82205,62.976712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,139.692639,62.496967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,143.290956,15.143325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,144.088334,37.828853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,144.86945,22.661587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,145.503717,16.932306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,145.7808,31.199828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,6.679674,-115.024629,149.937428,20.954467,1636148068921376768,Gaia DR3 627944697081990912,627944697081990912,387469689,2016.0,149.93562765804,0.8204,20.95368211445,0.6897,0.6718,0.8561,0.7848,5.911,-5.33,1.312,2.556,0.922,-0.1869,-0.1936,-0.341,0.1965,0.1664,0.3888,-0.7595,0.4043,-0.233,-0.5402,189,0,187,2,1.1316,217.0278,0.0,0.0,95,0,,1.5064,0.184,0.094,0.028,0.179,0.102,-0.006,22,13,2.063219,26,12,0,0.017,121.563,0,0,1.058,0.084,0.423,0.174,0.412,-9.05,18.616,0.262,-26.967,0,215,117.26072,0.83108,141.09413,20.514486,16,54.60525,10.18187,5.36299,20.995457,23,118.40363,7.79826,15.18333,19.564484,1.475,0,0,0,0,0,1.430973,0.48097,0.950003,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,212.35052634657,50.50416250888,144.7364141013,8.16396785442,0,0,0,0,0,0,0,0,0,0,0,0.0,1e-06,0.999993,,,,,,,,,,,,,,,,,,,,,,
34,,,150.888964,22.150459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,150.91472,16.750331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,8.021466,-160.601881,170.261864,22.0321,1636148068921376768,Gaia DR3 3990986248278002944,3990986248278002944,884286694,2016.0,170.26106566416,9.975,22.02999829925,5.5435,,,,,,,,,0.347,,,,,,,,,,102,0,100,2,80.4198,11089.1064,28.899,248.4396,3,0,,,,,,,,,12,9,18.941986,12,12,0,0.15,72.257,0,0,,0.165,0.141,0.265,0.89,-78.756,30.586,-9.617,-20.547,0,100,52.7222,1.5088,34.94302,21.382383,10,127.55268,14.36516,8.8793,20.074318,9,335.53247,7.86095,42.68346,18.433559,8.783,0,0,0,0,0,1.640759,-1.308065,2.948824,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,221.93056739482,68.85974427056,162.21491736596,16.36560380562,0,0,0,0,0,0,0,0,0,0,0,9e-05,0.000871,0.99809,,,,,,,,,,,,,,,,,,,,,,
37,,,153.86302,25.662203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,154.747192,21.236992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,162.005081,12.534948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,155.519045,24.44112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,157.006284,33.63585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,157.614331,22.738103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
